,cluster_agglomerative
191.236.16.12,2
191.35.218.102,3
191.8.189.83,2
192.0.73.2,2
192.0.76.3,2
192.0.77.2,2
192.0.77.32,2
192.110.165.94,2
192.111.154.38,3
192.132.33.27,2
192.155.215.182,2
192.161.156.1,2
192.185.225.1,2
192.186.93.74,2
192.198.207.178,2
192.200.184.173,2
192.229.163.180,2
192.229.163.25,2
192.229.173.136,2
192.230.185.126,2
192.237.193.133,2
192.243.250.36,2
192.243.250.58,2
192.252.144.35,2
192.28.144.124,2
192.35.249.127,2
192.82.242.21,2
192.82.242.50,2
192.99.132.66,2
193.150.101.6,3
193.169.4.21,3
193.19.118.97,5
193.19.3.184,2
193.194.69.157,2
193.200.32.114,6
194.153.191.21,3
194.228.221.66,3
194.28.112.179,4
194.44.62.242,3
194.44.93.225,2
194.71.85.66,3
194.75.186.188,2
194.8.147.186,2
195.149.85.252,3
195.154.207.131,2
195.16.103.67,2
195.161.162.254,3
195.169.125.251,2
195.175.58.170,3
195.189.196.58,3
195.194.75.70,3
195.208.179.24,3
195.208.51.104,2
195.22.126.136,2
195.22.126.209,2
195.22.127.226,2
195.228.47.11,6
195.230.158.5,3
195.3.146.96,2
195.34.233.138,2
195.39.160.69,6
195.62.92.238,3
195.69.197.154,0
195.9.54.102,6
196.144.185.207,3
196.200.146.10,3
196.201.40.109,3
196.218.133.171,3
196.218.141.114,2
196.218.42.237,2
196.25.125.65,2
197.128.1.20,2
197.149.67.194,3
197.210.153.46,3
197.210.154.142,3
197.211.44.106,2
197.219.111.100,2
197.230.8.215,3
197.253.58.43,3
197.255.188.53,3
197.44.136.40,3
197.44.200.172,3
197.45.181.191,3
197.50.184.34,3
197.50.199.81,3
197.50.240.149,3
197.51.127.188,6
197.51.172.36,3
198.2.55.250,2
198.23.145.251,6
198.41.30.253,2
198.44.226.11,3
198.51.152.184,2
198.55.245.88,2
198.8.70.129,2
199.16.156.105,2
199.16.156.11,2
199.16.156.120,2
199.16.156.200,2
199.16.156.201,2
199.16.156.21,2
199.16.156.232,2
199.16.156.241,2
199.16.156.41,2
199.16.156.52,2
199.16.156.73,2
199.16.156.75,2
199.16.156.9,2
199.16.157.105,2
199.182.216.166,2
199.187.193.130,2
199.187.193.140,2
199.187.193.19,2
199.19.224.253,2
199.247.8.195,2
199.27.170.188,2
199.30.181.84,2
199.38.165.156,2
199.59.148.12,2
199.59.148.84,2
199.59.150.10,2
199.59.150.42,2
199.59.150.44,2
199.83.134.9,2
199.96.57.6,2
2.179.166.78,2
2.180.165.168,2
2.180.3.34,3
2.190.137.175,3
2.22.23.175,2
2.228.39.100,3
2.32.73.126,2
2.61.63.47,6
2.61.99.172,3
2.89.246.82,2
2.92.200.247,3
200.107.241.50,3
200.109.46.93,3
200.124.26.22,2
200.127.149.98,3
200.14.248.140,3
200.14.248.148,3
200.199.142.162,3
200.2.160.62,3
200.216.8.84,2
200.31.114.150,2
200.32.70.218,3
200.40.199.227,3
200.42.173.147,3
200.46.26.134,3
200.48.137.122,3
200.57.131.236,2
200.66.77.66,3
200.69.253.205,2
200.76.121.115,2
200.84.143.38,3
200.84.146.218,2
200.84.165.143,2
200.84.76.29,6
200.84.81.220,6
200.87.134.13,3
201.139.92.60,3
201.143.86.77,6
201.148.125.6,3
201.148.56.221,3
201.151.93.165,3
201.163.122.6,3
201.166.130.118,3
201.167.5.38,3
201.168.191.14,2
201.174.154.14,5
201.208.0.162,3
201.208.113.76,3
201.208.135.146,2
201.208.220.49,3
201.208.5.163,3
201.209.134.142,2
201.209.36.44,3
201.209.43.221,3
201.210.222.23,2
201.211.126.225,6
201.211.126.4,3
201.211.35.130,3
201.211.44.117,3
201.221.153.74,3
201.242.170.78,3
201.242.35.164,3
201.242.47.175,3
201.242.56.143,3
201.243.162.33,3
201.243.166.149,3
201.248.200.70,3
201.248.66.222,3
201.249.182.130,3
201.48.72.83,3
201.55.199.143,6
201.86.212.74,3
202.107.160.251,2
202.123.70.6,3
202.131.229.114,2
202.134.2.13,3
202.142.110.155,3
202.142.148.197,3
202.142.154.106,2
202.142.96.19,3
202.147.199.10,3
202.162.111.152,2
202.162.210.97,2
202.169.33.251,3
202.169.40.70,3
202.176.119.228,3
202.181.206.254,2
202.28.35.153,3
202.28.35.187,3
202.28.63.66,3
202.29.14.121,3
202.29.14.122,3
202.29.239.97,6
202.39.55.24,3
202.4.170.4,3
202.53.12.82,3
202.58.85.21,2
202.61.45.3,3
202.62.17.149,3
202.62.17.151,3
202.72.213.244,3
202.82.150.103,3
202.83.28.134,3
203.122.33.82,3
203.130.231.84,2
203.130.240.98,3
203.146.142.62,2
203.146.189.95,6
203.146.192.61,3
203.150.68.3,2
203.153.234.162,2
203.159.138.64,3
203.162.175.198,3
203.202.240.131,3
203.202.245.194,3
203.205.28.218,3
203.24.50.231,2
203.69.224.157,2
204.11.168.212,2
204.11.168.6,2
204.118.31.2,3
204.12.68.88,2
204.186.252.3,3
204.2.179.163,2
204.2.179.228,2
204.2.179.39,2
204.2.179.89,2
204.2.197.202,2
204.236.219.209,2
204.236.235.210,2
204.79.197.200,2
206.117.25.89,2
206.117.25.90,2
206.132.109.43,2
206.152.33.71,2
206.188.192.136,2
206.188.193.253,2
207.148.5.230,2
207.148.71.76,2
207.164.132.18,2
207.164.66.210,6
207.20.38.208,2
207.204.159.106,2
207.244.80.166,2
207.244.86.222,2
207.34.231.254,3
207.98.136.114,2
208.101.25.60,2
208.108.184.254,3
208.118.189.2,2
208.51.63.57,2
208.80.154.224,2
208.80.154.240,2
208.88.199.146,2
208.91.60.45,2
209.125.197.254,3
209.126.136.5,2
209.126.136.6,2
209.141.55.136,3
209.167.231.15,2
209.167.231.17,2
209.197.3.19,2
209.204.229.130,2
209.222.0.43,2
209.232.183.2,2
209.45.45.102,3
209.45.52.42,6
209.53.213.34,3
209.85.201.138,2
209.85.201.155,2
209.85.201.156,2
209.85.201.157,2
209.85.202.100,1
209.85.202.101,1
209.85.202.102,1
209.85.202.113,1
209.85.202.132,2
209.85.202.136,2
209.85.202.138,1
209.85.202.139,1
209.85.202.148,2
209.85.202.149,2
209.85.202.153,2
209.85.202.154,1
209.85.202.155,2
209.85.202.156,2
209.85.202.157,1
209.85.202.190,2
209.85.202.91,2
209.85.202.93,2
209.85.202.94,1
209.85.202.95,1
209.85.202.97,2
209.85.203.100,1
209.85.203.101,1
209.85.203.102,2
209.85.203.113,1
209.85.203.132,2
209.85.203.136,2
209.85.203.138,1
209.85.203.139,1
209.85.203.148,2
209.85.203.149,2
209.85.203.153,2
209.85.203.154,1
209.85.203.155,1
209.85.203.156,1
209.85.203.157,1
209.85.203.181,2
209.85.203.190,2
209.85.203.91,2
209.85.203.93,2
209.85.203.94,1
209.85.203.95,1
209.85.203.97,1
210.113.78.106,2
210.129.120.41,2
210.129.184.28,2
210.191.104.111,2
210.245.32.101,2
210.48.222.9,3
210.86.226.179,3
211.181.237.106,6
211.22.167.12,3
211.22.64.88,3
211.234.94.205,5
211.25.98.34,2
211.5.236.197,3
212.0.149.88,6
212.100.143.19,3
212.115.235.172,6
212.12.232.42,3
212.122.72.71,3
212.124.12.150,3
212.156.78.62,6
212.156.92.194,2
212.156.99.134,6
212.164.254.171,2
212.174.232.94,3
212.174.99.3,3
212.179.111.205,2
212.20.43.2,3
212.220.1.140,3
212.237.4.117,2
212.237.56.188,2
212.3.106.198,2
212.3.193.175,3
212.34.233.6,2
212.35.180.156,3
212.47.234.165,2
212.58.121.82,6
212.66.51.144,3
212.73.95.138,3
212.83.191.80,3
212.92.104.143,2
212.92.104.175,2
212.92.105.107,2
212.92.106.106,2
212.92.108.184,2
212.92.108.84,2
212.92.112.111,2
212.92.113.110,2
212.92.113.120,2
212.92.114.128,2
212.92.114.168,2
212.92.114.178,2
212.92.114.198,2
212.92.115.207,2
212.92.115.77,2
212.92.116.246,2
212.92.117.185,2
212.92.117.45,2
212.92.119.1,0
212.92.121.147,2
212.92.124.31,2
212.92.196.162,3
212.94.16.2,2
213.14.91.130,3
213.144.36.14,3
213.144.36.15,3
213.157.51.130,3
213.159.254.147,2
213.212.94.189,2
213.230.101.94,3
213.230.68.45,3
213.251.226.208,3
213.32.48.47,2
213.48.54.43,2
213.59.130.160,3
213.74.206.122,6
213.78.119.18,2
213.79.69.194,3
213.79.91.92,6
216.123.7.58,2
216.14.48.162,3
216.146.46.10,2
216.170.126.116,2
216.200.232.221,2
216.200.232.235,2
216.200.233.94,2
216.218.206.110,2
216.24.224.136,2
216.243.229.161,2
216.248.72.115,2
216.34.181.25,2
216.34.181.45,2
216.34.181.48,2
216.34.250.230,3
216.54.159.114,3
216.58.198.65,2
216.58.198.66,1
216.58.198.67,2
216.58.198.70,2
216.58.198.72,2
216.58.198.74,2
216.58.198.77,2
216.58.198.78,1
216.58.198.83,2
216.58.211.161,2
216.58.211.162,1
216.58.211.163,1
216.58.211.165,2
216.58.211.166,1
216.58.211.168,1
216.58.211.170,1
216.58.211.174,1
216.58.211.178,2
216.58.211.179,2
216.58.211.99,2
216.58.212.163,2
216.58.217.130,2
216.58.217.136,2
216.58.218.226,2
216.70.52.33,3
217.107.125.191,6
217.110.126.20,3
217.112.218.58,3
217.118.93.158,2
217.118.95.84,3
217.13.150.43,2
217.20.71.10,3
217.218.241.69,6
217.52.63.146,6
217.61.104.211,2
217.67.189.210,3
217.91.231.165,2
218.164.203.159,3
218.164.31.209,3
218.255.233.114,3
218.64.255.29,3
218.77.59.81,2
218.78.186.242,2
218.87.194.83,3
219.147.132.167,3
219.160.112.13,3
219.91.207.210,2
220.132.236.194,6
220.133.156.143,3
220.134.197.253,2
220.137.5.221,6
220.143.108.105,3
220.143.186.221,3
220.231.90.220,2
220.247.172.138,3
221.120.210.138,3
221.194.44.211,2
221.229.166.121,0
222.110.165.199,2
222.114.6.130,2
222.124.114.132,3
222.124.144.189,3
222.124.199.34,3
222.124.58.121,3
222.127.104.26,3
222.127.147.201,2
222.132.136.17,2
222.146.193.211,2
222.174.177.178,2
222.220.39.181,2
222.252.156.11,2
222.81.226.22,2
222.88.190.199,3
222.89.128.198,2
223.101.178.208,2
223.102.246.250,2
223.107.63.50,2
223.16.121.27,3
223.18.105.121,3
223.205.12.45,3
223.207.249.3,3
223.221.240.54,6
223.245.161.24,3
223.27.151.109,3
223.27.251.223,3
223.30.192.54,3
223.74.12.89,2
223.74.58.77,2
223.89.184.98,2
223.90.77.145,2
223.96.219.56,2
223.96.53.202,2
223.96.61.111,2
223.98.179.69,2
23.103.189.158,2
23.111.9.14,2
23.111.9.32,2
23.111.9.64,2
23.13.146.140,2
23.13.154.167,1
23.13.157.189,2
23.13.158.247,2
23.13.159.76,2
23.13.160.205,2
23.13.162.20,2
23.13.165.231,2
23.13.176.79,2
23.13.178.232,2
23.13.180.170,2
23.14.151.160,2
23.14.186.68,2
23.15.7.107,2
23.15.7.112,2
23.15.7.113,2
23.15.7.140,2
23.15.7.166,2
23.15.8.107,2
23.15.8.113,2
23.15.8.121,1
23.15.8.129,2
23.15.8.131,1
23.15.8.137,2
23.15.8.139,2
23.15.8.146,2
23.15.8.160,2
23.196.100.70,2
23.196.102.76,2
23.196.104.14,2
23.196.104.19,2
23.196.107.189,2
23.196.107.60,2
23.196.108.64,2
23.196.109.221,2
23.196.113.171,1
23.196.113.50,2
23.196.115.14,2
23.196.116.215,2
23.196.119.142,2
23.196.127.55,2
23.196.127.56,2
23.196.127.61,1
23.196.141.83,2
23.196.57.205,2
23.196.57.82,2
23.196.58.54,2
23.196.6.166,2
23.196.6.17,2
23.196.6.178,2
23.196.6.68,2
23.196.6.79,2
23.196.97.191,2
23.196.98.102,2
23.196.98.229,2
23.198.10.54,2
23.21.113.119,2
23.21.126.194,2
23.21.132.210,2
23.21.175.31,2
23.21.226.158,2
23.21.233.59,2
23.21.41.167,2
23.21.46.143,2
23.21.49.226,2
23.21.61.2,2
23.21.63.252,2
23.21.76.16,2
23.21.89.168,2
23.21.94.151,2
23.211.131.150,2
23.215.98.15,2
23.217.147.204,2
23.217.19.241,1
23.217.25.46,2
23.217.26.156,2
23.217.28.150,2
23.217.32.120,2
23.217.33.186,2
23.217.36.24,2
23.217.38.65,2
23.218.38.23,1
23.218.48.119,2
23.218.50.120,2
23.218.53.197,1
23.218.62.30,1
23.218.74.81,2
23.218.75.124,2
23.218.76.161,2
23.219.88.11,2
23.219.88.151,2
23.219.88.158,2
23.219.88.160,2
23.219.88.161,2
23.219.88.166,2
23.219.88.168,2
23.219.88.169,2
23.219.88.176,2
23.219.88.210,2
23.219.88.217,2
23.219.88.24,2
23.219.88.35,2
23.219.88.56,2
23.219.88.57,2
23.219.88.64,2
23.219.88.66,2
23.219.88.73,1
23.219.88.74,1
23.219.94.16,2
23.226.130.198,3
23.227.38.64,2
23.23.103.255,2
23.23.107.13,2
23.23.129.166,2
23.23.140.218,2
23.23.144.24,2
23.23.150.198,2
23.23.152.86,2
23.23.156.255,2
23.23.156.71,2
23.23.158.36,2
23.23.207.207,2
23.23.222.212,2
23.23.224.125,2
23.23.227.6,2
23.23.58.224,2
23.23.73.242,2
23.23.87.187,2
23.23.99.70,2
23.25.77.45,2
23.31.206.38,2
23.32.172.123,2
23.36.32.102,2
23.36.32.126,2
23.36.32.16,2
23.36.32.162,1
23.36.32.229,2
23.36.32.235,2
23.36.32.44,2
23.36.32.85,2
23.36.32.88,2
23.36.33.118,2
23.36.33.160,2
23.36.33.163,2
23.36.33.17,2
23.36.33.173,2
23.36.33.207,2
23.36.33.218,2
23.36.33.227,2
23.36.33.229,2
23.36.33.230,2
23.36.33.237,2
23.36.33.24,2
23.36.33.240,2
23.36.33.39,2
23.36.33.52,1
23.36.33.56,2
23.36.33.59,2
23.36.33.73,2
23.36.33.86,2
23.36.34.11,2
23.36.34.146,2
23.36.34.213,1
23.36.34.216,2
23.36.34.36,2
23.36.80.82,2
23.36.81.84,2
23.42.156.231,2
23.46.60.109,2
23.46.60.128,2
23.46.60.192,2
23.46.60.234,2
23.46.61.109,2
23.46.61.25,2
23.46.61.37,2
23.46.61.41,2
23.46.61.91,2
23.46.62.134,2
23.46.62.146,2
23.46.62.157,2
23.46.62.184,2
23.46.62.37,2
23.46.63.181,2
23.49.176.40,2
23.49.177.88,2
23.49.181.132,2
23.49.188.59,2
23.49.189.7,2
23.50.225.11,2
23.50.225.124,2
23.50.225.25,2
23.50.225.28,2
23.50.57.12,2
23.52.86.153,2
23.52.91.27,1
23.56.201.119,2
23.61.198.145,2
23.62.6.23,2
23.62.7.173,2
23.63.101.174,2
23.73.153.142,2
23.73.154.176,2
23.73.155.109,2
23.89.144.227,2
23.96.219.104,2
23.99.24.158,2
24.106.18.90,3
24.123.231.237,2
24.178.196.118,2
24.197.77.189,2
24.39.199.220,3
24.43.93.126,6
24.57.227.129,2
27.199.109.53,2
27.219.147.154,2
27.237.184.132,2
27.254.53.179,6
27.254.59.9,6
27.48.94.254,3
27.50.24.76,6
27.50.31.76,3
27.68.125.220,3
27.71.158.131,3
27.72.113.22,3
27.72.87.99,3
27.74.248.244,3
31.129.184.14,3
31.13.65.2,2
31.13.65.36,1
31.13.65.52,2
31.13.65.7,1
31.13.71.36,2
31.13.71.7,2
31.13.72.17,2
31.135.195.178,2
31.148.127.227,3
31.168.52.214,3
31.170.236.103,3
31.173.101.224,2
31.173.182.162,3
31.173.183.254,3
31.180.123.109,2
31.181.87.229,2
31.186.68.101,3
31.214.129.80,3
31.223.130.192,3
31.47.194.150,3
31.47.61.146,2
31.51.235.126,2
31.6.121.159,3
31.8.246.127,3
34.192.240.114,2
34.192.36.179,2
34.192.94.202,2
34.193.177.34,2
34.193.197.225,2
34.193.208.139,2
34.193.96.33,2
34.194.109.176,2
34.194.12.155,2
34.194.124.14,2
34.194.125.5,2
34.194.219.50,2
34.194.73.77,2
34.194.82.212,2
34.194.84.90,2
34.195.114.203,2
34.195.128.175,2
34.195.148.37,2
34.196.128.45,2
34.196.134.167,2
34.196.141.22,2
34.196.173.185,2
34.196.187.214,2
34.196.189.5,2
34.196.190.106,2
34.196.59.245,2
34.197.149.178,2
34.197.155.16,2
34.198.172.204,2
34.198.71.9,2
34.198.80.176,2
34.199.116.246,2
34.199.178.106,2
34.199.50.207,2
34.199.96.168,2
34.200.124.51,2
34.200.190.135,2
34.202.122.199,2
34.202.180.186,2
34.203.185.26,2
34.203.58.14,2
34.203.68.62,2
34.204.154.146,2
34.204.214.191,2
34.204.246.70,2
34.205.192.52,2
34.205.202.95,2
34.205.226.238,2
34.205.97.45,2
34.206.166.138,2
34.206.169.32,2
34.206.189.138,2
34.206.253.114,2
34.206.37.214,2
34.206.4.224,2
34.206.65.78,2
34.207.47.54,2
34.209.248.26,2
34.210.37.21,2
34.211.140.227,2
34.211.98.116,2
34.211.99.53,2
34.213.37.245,2
34.214.15.91,2
34.216.156.21,2
34.216.250.207,2
34.224.124.173,2
34.224.182.124,2
34.224.188.112,2
34.225.10.165,2
34.225.101.36,2
34.225.149.64,2
34.225.200.43,2
34.225.202.230,2
34.225.31.76,2
34.226.0.93,2
34.226.159.171,2
34.226.38.103,2
34.226.38.126,2
34.226.55.45,2
34.226.78.29,2
34.227.130.226,2
34.227.140.158,2
34.227.166.18,2
34.228.174.218,2
34.228.250.248,2
34.228.34.48,2
34.228.46.114,2
34.230.158.227,2
34.230.165.183,2
34.230.170.212,2
34.230.207.83,2
34.230.223.214,2
34.231.175.247,2
34.231.239.32,2
34.231.85.1,2
34.231.85.132,2
34.232.225.208,2
34.232.251.80,2
34.232.39.219,2
34.234.56.208,2
34.234.98.90,2
34.235.78.222,2
34.235.79.173,2
34.236.120.1,2
34.236.182.238,2
34.236.215.177,2
34.236.215.2,2
34.237.170.104,2
34.238.59.205,2
34.238.62.49,2
34.238.64.228,2
34.239.8.222,2
34.239.99.85,2
34.242.50.52,2
34.249.232.228,2
34.250.172.204,2
34.251.193.116,2
34.251.57.109,2
34.252.72.54,2
35.153.117.62,2
35.157.238.224,2
35.160.52.148,2
35.160.58.123,2
35.161.221.102,2
35.161.241.69,2
35.162.179.12,2
35.162.60.68,2
35.163.143.41,2
35.164.155.187,2
35.164.80.164,2
35.165.158.113,2
35.167.141.246,2
35.167.158.210,2
35.170.0.108,2
35.170.33.157,2
35.171.33.106,2
35.185.16.249,2
35.185.32.61,2
35.186.249.84,2
35.190.162.35,2
35.190.175.111,2
35.190.62.199,2
35.190.62.200,2
35.190.74.53,2
35.195.219.228,2
35.197.239.16,2
35.200.236.242,2
36.101.198.77,2
36.111.194.157,3
36.185.43.224,2
36.2.132.170,2
36.224.47.111,3
36.226.112.123,6
36.226.98.53,3
36.227.5.25,3
36.227.63.16,3
36.229.160.21,3
36.234.118.79,3
36.234.209.192,2
36.235.67.115,3
36.236.147.96,2
36.236.40.50,3
36.236.82.114,3
36.237.138.64,6
36.62.159.105,2
36.66.102.226,3
36.66.118.172,3
36.66.42.3,3
36.66.94.49,3
36.67.108.63,3
36.67.122.226,2
36.67.70.234,3
36.68.128.6,3
36.68.18.232,3
36.68.239.39,3
36.69.224.134,3
36.72.178.231,3
36.72.207.166,3
36.72.64.124,3
36.72.84.3,3
36.73.137.198,3
36.73.15.83,2
36.73.58.239,3
36.73.59.143,3
36.74.50.206,3
36.74.96.211,2
36.75.146.159,2
36.75.151.187,3
36.75.252.201,3
36.76.219.127,3
36.77.128.12,2
36.77.171.157,3
36.77.93.101,3
36.79.40.55,2
36.79.45.48,3
36.80.56.150,6
36.80.92.176,3
36.81.120.134,3
36.81.209.25,2
36.82.103.115,3
36.82.103.210,2
36.82.103.45,3
36.82.105.85,3
36.82.128.110,3
36.82.194.228,3
36.83.31.232,3
36.84.130.37,3
36.84.224.170,3
36.84.224.71,3
36.84.224.95,3
36.84.63.72,3
36.84.64.181,3
36.84.64.76,3
36.84.69.71,3
36.84.70.160,3
36.84.73.93,6
36.85.55.50,2
36.85.78.147,3
36.88.152.0,3
36.89.25.170,3
37.115.136.54,2
37.131.224.158,3
37.139.119.80,2
37.15.191.145,2
37.190.61.130,3
37.193.194.3,3
37.208.98.187,3
37.220.194.86,3
37.229.130.119,3
37.232.129.58,3
37.252.66.89,3
37.27.109.83,6
37.29.118.68,3
37.29.19.117,2
37.29.79.180,2
37.57.47.187,3
37.76.249.66,3
37.79.77.153,3
38.126.130.202,2
38.130.113.160,3
38.142.192.18,2
38.142.99.34,2
38.71.2.160,2
39.10.198.146,6
39.115.145.34,3
39.158.202.41,2
39.167.247.163,2
39.168.129.91,2
39.37.22.248,2
39.53.147.144,3
39.57.45.108,3
40.113.90.255,2
40.118.170.31,2
40.121.144.177,2
40.69.216.251,2
40.69.216.73,2
40.69.220.46,2
40.77.228.69,2
40.77.232.95,2
40.79.34.21,2
40.86.188.235,2
40.97.140.18,2
41.155.253.140,3
41.200.249.154,3
41.200.251.102,3
41.203.16.49,2
41.220.17.138,3
41.226.243.3,2
41.244.232.114,3
41.33.113.67,3
41.33.48.90,3
41.38.119.196,3
41.39.134.47,3
41.39.42.210,3
41.39.53.26,3
41.39.99.102,6
41.39.99.132,2
41.41.97.70,3
41.47.101.199,3
41.66.244.174,3
41.68.216.211,6
41.79.190.79,3
41.95.246.13,3
42.112.71.96,3
42.114.21.113,3
42.202.149.245,2
43.225.67.140,3
43.239.73.218,3
43.240.103.145,6
43.247.68.80,2
43.249.62.210,3
43.251.169.154,3
43.251.75.39,3
45.117.212.209,2
45.119.237.10,2
45.119.82.234,3
45.126.215.18,3
45.222.101.167,3
45.248.56.249,3
45.249.94.53,2
45.60.121.36,2
45.63.30.5,2
45.77.215.253,2
46.101.240.54,2
46.105.160.56,2
46.107.238.52,3
46.109.231.193,3
46.118.254.74,3
46.119.238.183,3
46.130.61.241,3
46.152.35.158,2
46.164.141.5,6
46.165.244.215,1
46.167.86.200,3
46.17.97.4,4
46.172.121.96,2
46.172.199.77,3
46.188.121.110,3
46.196.76.131,3
46.209.141.73,2
46.209.15.14,3
46.234.125.89,2
46.32.16.170,3
46.48.201.229,3
46.55.254.14,3
46.72.101.119,3
46.72.105.36,3
46.72.130.234,3
46.72.47.46,3
46.8.147.112,3
46.91.201.113,3
46.98.173.236,3
46.98.244.67,3
46.98.62.154,3
46.99.130.132,2
47.183.196.97,2
47.206.80.165,3
47.247.227.98,2
47.52.33.110,3
47.74.144.60,3
47.91.158.245,3
49.145.249.136,3
49.148.140.165,3
49.203.13.40,2
49.206.123.156,3
49.206.123.60,3
49.206.208.105,3
49.206.219.215,3
49.206.219.84,3
49.207.188.29,3
49.229.242.61,3
49.229.66.192,3
49.231.146.205,2
49.231.251.172,3
49.248.122.140,3
5.101.6.170,2
5.120.95.10,3
5.125.201.39,6
5.126.223.252,3
5.141.224.181,2
5.145.235.114,2
5.149.205.180,3
5.188.10.144,2
5.188.11.111,2
5.188.11.25,2
5.188.86.40,2
5.188.86.56,2
5.188.87.9,2
5.188.9.10,2
5.188.9.25,2
5.188.9.30,2
5.235.101.180,3
5.238.212.4,3
5.35.31.241,2
5.37.218.192,3
5.39.216.134,2
5.39.216.193,0
5.39.216.195,0
5.39.216.253,0
5.39.218.197,2
5.44.168.162,3
5.62.34.35,2
5.78.65.2,3
50.112.155.198,2
50.112.201.212,2
50.125.83.27,2
50.16.189.107,2
50.16.214.170,2
50.16.227.133,2
50.16.95.170,2
50.17.178.64,2
50.17.228.28,2
50.17.234.198,2
50.19.100.203,2
50.19.109.243,2
50.19.247.154,2
50.19.84.118,2
50.201.141.102,6
50.204.242.68,3
50.23.71.51,2
50.233.61.2,2
50.255.85.146,2
50.63.136.4,2
50.64.9.0,2
50.88.240.195,3
50.97.162.171,2
50.97.40.233,2
51.211.183.245,3
52.0.108.62,2
52.0.15.105,2
52.0.157.68,2
52.0.195.74,2
52.0.224.144,2
52.0.63.14,2
52.1.183.114,2
52.1.196.17,2
52.1.201.118,2
52.1.226.202,2
52.1.255.181,2
52.1.5.34,2
52.1.63.165,2
52.1.90.207,2
52.10.90.140,2
52.10.99.146,2
52.14.9.34,2
52.158.236.248,2
52.17.197.111,2
52.178.192.146,2
52.185.151.41,2
52.19.105.22,2
52.2.113.107,2
52.2.131.164,2
52.2.225.154,2
52.2.5.150,2
52.2.86.98,2
52.20.114.94,2
52.20.12.16,2
52.20.125.235,2
52.20.17.139,2
52.20.17.81,2
52.20.187.235,2
52.20.233.27,2
52.20.253.85,2
52.20.30.109,2
52.20.66.66,2
52.20.7.113,2
52.20.73.160,2
52.200.159.117,2
52.200.164.141,2
52.200.196.186,2
52.200.30.173,2
52.201.112.171,2
52.202.198.212,2
52.202.2.188,2
52.202.232.207,2
52.202.248.138,2
52.202.41.251,2
52.202.7.33,2
52.203.140.232,2
52.203.19.126,2
52.203.201.18,2
52.203.205.209,2
52.203.206.199,2
52.203.210.222,2
52.204.2.216,2
52.204.224.212,2
52.204.247.161,2
52.204.247.30,2
52.204.255.156,2
52.204.36.21,2
52.205.108.47,2
52.205.157.173,2
52.205.58.139,2
52.205.87.73,2
52.206.102.95,2
52.206.166.212,2
52.206.168.245,2
52.206.176.91,2
52.206.35.17,2
52.206.50.251,2
52.207.102.156,2
52.207.156.239,2
52.207.200.147,2
52.207.5.63,2
52.207.50.238,2
52.207.57.149,2
52.207.61.132,2
52.209.205.49,2
52.209.226.12,2
52.209.227.123,2
52.21.201.244,2
52.21.233.184,2
52.210.121.26,2
52.210.72.135,2
52.213.131.151,2
52.213.91.63,2
52.213.94.235,2
52.216.1.128,2
52.216.1.216,2
52.216.1.27,2
52.216.130.131,2
52.216.132.19,2
52.216.16.48,2
52.216.160.211,2
52.216.160.75,2
52.216.161.3,2
52.216.162.219,2
52.216.163.19,2
52.216.163.27,2
52.216.164.107,2
52.216.165.147,2
52.216.165.203,2
52.216.165.211,2
52.216.165.67,2
52.216.166.35,2
52.216.17.43,2
52.216.20.253,2
52.216.224.64,2
52.216.225.155,2
52.216.226.208,2
52.216.228.32,2
52.216.228.72,2
52.216.65.24,2
52.216.65.99,2
52.216.80.152,2
52.216.82.144,2
52.216.82.219,2
52.216.82.88,2
52.216.84.203,2
52.216.84.59,2
52.216.85.171,2
52.216.86.61,2
52.216.96.187,2
52.216.97.195,2
52.216.98.163,2
52.216.99.107,2
52.218.200.122,2
52.218.201.34,2
52.219.80.3,2
52.22.120.12,2
52.22.163.156,2
52.22.179.159,2
52.22.245.163,2
52.22.52.111,2
52.22.63.50,2
52.22.68.31,2
52.22.83.4,2
52.229.170.171,2
52.23.3.197,2
52.239.137.4,2
52.24.183.185,2
52.242.29.77,2
52.25.10.191,2
52.25.153.217,2
52.25.154.197,2
52.26.179.183,2
52.26.44.226,2
52.26.56.183,2
52.27.240.12,2
52.27.241.27,2
52.27.86.92,2
52.3.188.193,2
52.3.48.158,2
52.3.55.179,2
52.3.73.49,2
52.3.86.250,2
52.3.95.241,2
52.30.74.252,2
52.31.122.196,2
52.32.234.216,2
52.33.245.124,2
52.35.81.238,2
52.36.144.43,2
52.36.71.24,2
52.37.48.84,2
52.38.149.111,2
52.4.13.99,2
52.4.191.175,2
52.4.199.240,2
52.4.35.190,2
52.4.62.11,2
52.4.7.196,2
52.4.89.107,2
52.41.138.143,2
52.41.192.90,2
52.42.16.210,2
52.42.180.72,2
52.42.20.106,2
52.43.54.37,2
52.44.162.213,2
52.44.192.243,2
52.44.21.163,2
52.44.243.12,2
52.44.71.195,2
52.45.109.63,2
52.45.11.188,2
52.45.112.188,2
52.45.128.130,2
52.45.154.11,2
52.45.195.29,2
52.48.126.250,2
52.5.129.223,2
52.5.149.200,2
52.5.149.245,2
52.5.239.160,2
52.5.246.171,2
52.5.25.66,2
52.5.76.109,2
52.5.92.144,2
52.5.96.181,2
52.50.144.182,2
52.51.129.14,2
52.54.111.199,2
52.54.144.255,2
